alpha,beta,r2_test
0.05685561721571472,12.659528324237964,0.6387333563401678
0.0584089554569349,12.460107017944347,0.6219574219651127
0.056298339419291785,12.795406007261239,0.6359304090526344
0.056647598998097834,12.70751391209738,0.6386424072505814
0.061355851583299946,12.123455021027087,0.5819480837556117
0.05665478911720261,12.667954693076108,0.642124640582443
0.05658733618093231,12.73476903915488,0.6366338142434438
0.05560773982727599,12.842052471854677,0.6492589798933935
0.059971173049128204,12.316191278910148,0.5955171472638789
0.058458389320698155,12.485224440743393,0.6172978081876174
0.055853724702772514,12.802512468732036,0.6475932252214656
0.056632085407343026,12.694283415173107,0.6404768123376807
0.058528544693360135,12.45262876862137,0.6197411418159744
0.05748244269990505,12.591802240736133,0.6307165321452709
0.058929645786794924,12.437611715756459,0.6097833966035825
0.06021667198653285,12.271999780273656,0.5950336488315142
0.05565929840486876,12.834988640653547,0.6487884307937128
0.055425155012804546,12.867791678711628,0.6508421176793826
0.057873947642841476,12.571967964321518,0.621963823353653
0.054264880234550394,13.036825467515188,0.6600526067632773
0.055541893568128234,12.831031166673524,0.6516156520780962
0.05623505401384162,12.763396754871655,0.6426315092634094
0.057282470561432715,12.608359288973356,0.6338813114094622
0.061760240165072304,12.086742813734455,0.5745728681262827
0.05810109506490293,12.49808859951135,0.6255319039710912
0.05529048292906328,12.913872109394507,0.6487147936200718
0.05687819218412753,12.670168290373706,0.6371081399119973
0.056648036995095186,12.721652313242002,0.63675669045662
0.05533494148971457,12.895029825814333,0.6499873971758235
0.05703046545109586,12.66889804648934,0.6331231169739024
0.06024680728584033,12.26975025477607,0.5943992932284534
0.05437258265647355,12.980159953165858,0.6621188450025648
0.053197397838853175,13.195711647757243,0.6677421552851043
0.05853947418182484,12.48126058542502,0.6153380413987363
0.05618496755073453,12.771169913981815,0.6429939161062294
0.05751487595465651,12.59624997377525,0.6292762868521353
0.05688106720052128,12.685618447903321,0.6350933171899839
0.056697649651539866,12.72094282845251,0.6353778551145748
0.058930563491476864,12.395336510127677,0.6158365428455645
0.060201624146938054,12.283956949929427,0.5933758569744395
0.05663950922380781,12.731414538283033,0.6355497276053533
0.05697423395129187,12.63612829001479,0.6382081120001035
0.058786065310362845,12.472661643009417,0.608226530999553
0.055099561766573324,12.9370501041294,0.6508965321836762
0.05389380999927664,13.104072380036838,0.6615047529858742
0.05592843474120884,12.778333498320789,0.6481161608147468
0.0576620332704628,12.564230037987844,0.6292897323467135
0.05567448744286485,12.852140505487808,0.6463799108645428
0.0591316689761529,12.384753977496704,0.6116876192416862
0.058983897194189235,12.419238145440955,0.6110966650044245
0.0561908594609041,12.788038238084793,0.6405813762578686
0.05797874565439153,12.547407484999018,0.6225962925443957
0.05531684144841139,12.91281869401159,0.6481021740865945
0.055116528933190946,12.930339300572387,0.6513150740486291
0.05875237237980674,12.469208834310654,0.6101634872323893
0.058105947605687366,12.488445447212746,0.6263240587047001
0.05439759907672664,13.047579201186663,0.6553788963461762
0.05422919641984334,13.035589713117076,0.6609340120893619
0.058019810316702836,12.537535561906749,0.6228310367604769
0.05612631313404348,12.760955972815317,0.6454769310290126
0.058676199721279736,12.407426689136797,0.6206119103275654
0.0542232604665545,13.073045234776648,0.6567584309531302
0.06075798408785458,12.176124856649809,0.5925277134066557
0.058636298548395215,12.456024618611453,0.6162491132514114
0.05545160766235578,12.87423324007459,0.6494959011785502
0.054884430818138485,12.934775398335331,0.6562992672346255
0.05770839810688658,12.55540070959088,0.6291059449512473
0.058410212739124584,12.475229512600869,0.6201526031459835
0.05649042958190904,12.781598756800815,0.6316691037195227
0.05808723078499851,12.553146999064188,0.6180178423745353
0.06070282595487424,12.227465049497345,0.5860415924245885
0.0552494126792554,12.894962809797235,0.6521066850025985
0.056233167330102654,12.796417554899229,0.6379428836773353
0.05587476793995382,12.789285097958702,0.6483213317050986
0.0581923760280492,12.515252998664643,0.620919263664885
0.060687798346758595,12.212102842093898,0.5894241155231535
0.0559666839256199,12.80745057433249,0.6442527051305691
0.055043356927668166,12.914559821635574,0.6547770179280892
0.0568068895875825,12.682494743291896,0.6374988270180189
0.05638437457469351,12.71024747481456,0.6443224883051375
0.061442742643936114,12.139655027148757,0.5760119171301952
0.05589974434103833,12.837069666841996,0.6419613012930254
0.05662314400453467,12.706740252041213,0.6393641696830559
0.06059700155283949,12.19593241595136,0.594579849457741
0.0568257967517631,12.71626782685115,0.6320398574554704
0.059881983240824055,12.311018183050633,0.5995980302063602
0.05440579347610945,13.018433422741909,0.6587440983728733
0.05762857099801548,12.567552436215248,0.6297636062670506
0.059263819120560175,12.38689478533782,0.6073085282225468
0.059231514729549725,12.39433674777003,0.6071233715241962
0.05588843329397141,12.791274156730383,0.6478712351728816
0.05903054194754268,12.423612472163938,0.6088172565246477
0.05936226563479704,12.3447581130009,0.6103319944049177
0.055349394382807206,12.883856149378149,0.6509254999202893
